Response ID,Timestamp (mm/dd/yyyy),"Take a few moments to remember the situation that you thought of and re-experience the emotions you felt at that time as strongly as possible.In as much detail as possible, describe the events of the experience as you would explain them out loud to a friend, paying special attention to your thoughts and feelings during the event.","Which emotions were most present for you during this experience? (select all that apply) - Anger (e.g., Rage, Mad, or Irritated)","Which emotions were most present for you during this experience? (select all that apply) - Disgust (e.g., Nausea, Sickened, or Revulsion)","Which emotions were most present for you during this experience? (select all that apply) - Fear (e.g., Terror, Scared, or Panic)","Which emotions were most present for you during this experience? (select all that apply) - Anxiety (e.g., Dread, Nervous, or Worry)","Which emotions were most present for you during this experience? (select all that apply) - Sadness (e.g., Grief, Lonely, or Empty)","Which emotions were most present for you during this experience? (select all that apply) - Desire (e.g., Wanting, Craving, or Longing)","Which emotions were most present for you during this experience? (select all that apply) - Relaxation (e.g., Easygoing, Chilled out, or Calm)","Which emotions were most present for you during this experience? (select all that apply) - Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437894,8/19/2022 14:21,It is a frustrating but pleasant experience at the same time,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437892,8/19/2022 14:21,I found out I was not sick with a very serious illness and would not require intensive treatment,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437882,8/19/2022 14:21,When I found out I would be coming home from south Korea when I was in the armed forces. I felt an overwhelming feeling of happiness and excitement t Like never before,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437880,8/19/2022 14:21,It was when I was working in a healthcare facility and a patient asked to used to our restroom which was next to where our front office location was. Next thing we hear the patient had vomited and had diarrhea everwhere in the restroom. It was very loud and the smell was disgusting for everyone.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82437878,8/19/2022 14:21,When I went to the emergency room because I was feeling stomach pain that wouldn't go away at all come to find out bad news and I needed surgery,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82437876,8/19/2022 14:21,When I was pregnant with my daughter and I gave birth I was cared for well in the hospital,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437871,8/19/2022 14:21,While the girls were playing the interments the sound was very off beat,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437869,8/19/2022 14:21,A man entering a taxi and an elderly man getting dressed then a group of young students engaging in music class,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437868,8/19/2022 14:21,Eye infection causing permanent loss of sight in one eye. Initial feelings of denial and self belief that the setback could be temporary. Eventually self pity at the sensory loss.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437865,8/19/2022 14:21,at the time I felt very lonely and i wasn't sure what I was doing,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437859,8/19/2022 14:21,Bad car smash which left me with a permanent back injury,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437857,8/19/2022 14:21,I felt lost and full of anxiousness and worry. I could not stop thinking about the problem and how it was going to negatively affect me,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437856,8/19/2022 14:21,"I feel scared and then I get angry ,ready to both fight and flight if necessary.","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437854,8/19/2022 14:20,I felt like the man didn't want to here the loud noise when they are practicing their music instrument,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437852,8/19/2022 14:20,I had to have a cancerous lesion removed from the back of my neck and a couple of days later when I removed the dressing my son took a photo of it for me and it was horrible looked like I had been chopped up by Freddy cruger and made my stomach turn,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437850,8/19/2022 14:20,It kind of was a scary situation but the ending was postive,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437844,8/19/2022 14:20,Just watching the kids have a good time doing something that they love and have a passion for a younger age it's real nice to see,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437842,8/19/2022 14:20,"I was going through the stages of labour with my daughter. Unfortunately, as I was only 25 weeks I was told by the doctors that my daughter’s lungs were Tok small. After three days I have birth to my daughter and she was alive for 3 hours",,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437840,8/19/2022 14:20,I fell ill during pregnancy. I've never felt so scared and anxious in my life,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437838,8/19/2022 14:20,The scene of the girls reminds me of a television show called Glee but it is mainly singing rather then playing in a band. This scene seems to display the enjoyment kids get from being creative its a way to release stress.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437837,8/19/2022 14:20,What I felt in feeling q bit of a surprise that I have a feeling for pain but overall I have more strength,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437835,8/19/2022 14:20,"Interesting and fun, would watch again and would recommend",,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82437827,8/19/2022 14:20,I do not like this question and don’t think it’s fair to ask someone something so personal,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437826,8/19/2022 14:20,My Mom passed away and it was devastating. It was so hard to watch and to deal with.,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437825,8/19/2022 14:20,It made me think about my health and well being. I would watch it again,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437823,8/19/2022 14:20,"Jus5 today a car overtook mine in a very unsafe manner, I beeped, and the bastard showed me a middle finger.. That was very annoying, he was wrong, ad yet I couldn't respond in anyway, let helpless as I couldn't stop pull him out of the car and break that finger","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437820,8/19/2022 14:20,Riding new bike I was very happy and eccentric to ride that bad boy,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437819,8/19/2022 14:20,I thought it was very strange and confusing. I wasn't totally sure what was going on and I think it was quite bizarre,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437817,8/19/2022 14:20,"Laying on the couch, doubled over. Couldn't eat, couldn't sleep. Couldn't even keep anything to drink down. 3 days in excruciating pain. Finally the hospital I go and the doctor does an emergency gallbladder removal.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437813,8/19/2022 14:20,Nothing new to me I'm so use to bad news I just accept it as part of my everyday life,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437808,8/19/2022 14:20,I remember when on a road I cross the zebra crossing and an approaching car was speeding with little aim to reduce speed in good time. I ran out of the way and was truly full of adrenaline and grateful I was not injured,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437807,8/19/2022 14:20,I had a feeling my boyfriend was cheating. He was in my apartment building upstairs with some women. I had an anxiety attack. My stomach was really tight I couldn't breathe and was very dizzy.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437803,8/19/2022 14:20,"I had meningitis in 2013, and my experience and my thoughts were very negative during this period. I anticipated many difficulties in achieving recovery.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437796,8/19/2022 14:20,Had a dream that spiders crawled up my face and into my mouth as I was paralyzed for some reason. I partially awoke with a strange taste in my mouth before awaking fully.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437790,8/19/2022 14:20,I would tell my friends and family that the service is very easily accessible,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437787,8/19/2022 14:20,"sadness , loss , loss in daily life not knowing what to do , emptiness",,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437785,8/19/2022 14:20,When I went to the hospital before I was in the waiting room and some girl was not co ering her mouth when she sneezed. It was gross..,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437782,8/19/2022 14:20,It was a guy that got into a taxi and told him the location,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437781,8/19/2022 14:20,I would have to wear headphones as well I don't look like out of tune music,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437774,8/19/2022 14:20,I was in an uber about 8 months ago...my wife and i got a sitter and went out for drinks.....the driver of the uber threw up all over the front of the car...we were in back THANK GOD. but still a couple specks of vomit were on my face and hand....it wreeked in there....i was horrified...my wife was freaking out...i almost vomiited too...i calmed down quickly but we were repulsed...we got out and got another uber,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
82437772,8/19/2022 14:20,Getting my lawsuit and then my lawyer dropped the case and I felt extremely bad,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437771,8/19/2022 14:20,"Recently found out my mum died through the Internet. We had been estranged for a number of years. I felt numb, confused, angry and a lot of grief and regret","Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437761,8/19/2022 14:20,Being involved in a road traffic accident being seriously injured. Fear and concern as to the following outcome,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437758,8/19/2022 14:20,"When I was at camp as a teen, Aspire crawled on me and I nearly jumped out of my skin. It was gross!",,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82437750,8/19/2022 14:20,I felt confused and sad. It made me think about my own life and it was really relatable and disappointing.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437743,8/19/2022 14:20,"A rocket we were working on exploded on the pad, sending debris flying in our direction. I have never felt closer to death than when I heard a piece of plastic wiz by my head as I scrambled to shelter",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437741,8/19/2022 14:20,"I'm really unsure on this no idea to be honest,can't think of any event",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82437739,8/19/2022 14:20,I mean I don't know how to explain it. It was so quick,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437734,8/19/2022 14:20,I thought I was going to die one time when I felt unwell at the wheel of my car whilst driving I was on a road with nowhere to pull over,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437733,8/19/2022 14:20,"I was scared, kinda hopeless, but also thankful for answers and for a care plan. I was anxious about having my life flipped upside down but I'm here, and still living",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437732,8/19/2022 14:20,I tend to not have extreme negative emotions that relate to these things. I may not like something but I am able to walk away from it so that's what I choose to do. I remember seeing someone vomiting on the street and it smelled so bad as I didn't want to watch anymore or smell it I simply crossed the road.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437731,8/19/2022 14:20,Going out with friends. Feeling anxious as O had not been out in nearly 9 years,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82437730,8/19/2022 14:20,About sad when they'll make it and drive anymore. Then he missing his grandkids. He was able to hear him over the Internet that was good,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82437729,8/19/2022 14:20,"I would explain a pang of anxiety, and all the attendant problems (i.e. racing thoughts, feeling of impending doom).",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437726,8/19/2022 14:20,Perfectly normal day. I wasn't feeling great emotionally so I wanted to go fishing. My girlfriend dropped me off at the river while she went to a doctor's appt. An hour later she arrives back at the fishing spot and tells me she's pregnant with our first bot. I was ecstatic and felt much better.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437723,8/19/2022 14:20,My thoughts is that this was a weird se up because a guy put on headphones and listened to ballerina music,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437721,8/19/2022 14:20,My children being born. Those were some of the best things to happen iny life,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82437720,8/19/2022 14:20,I think that it will ge a good thing hoe it is it fab ge the best I judy think it’s one of it,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82437714,8/19/2022 14:20,I had a cystoscopy and afterwards had intense pain and peeing blood,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82437707,8/19/2022 14:20,I felt as if I could not go forward in life if I didn't figure something out. It made me feel very hopeless and like I couldn't go on anymore.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
